Namespace(dict='data/CBTest/data/cbtest_NE_train.txtdict.pt', model='models/gru/model2_epoch8_acc_70.25.pt', out='models/gru/model2_epoch8_acc_70.25.ptresult.txt', testdata='data/CBTest/data/cbtest_NE_test_2500ex.txt.pt')
Loading dict data/CBTest/data/cbtest_NE_train.txtdict.pt
Loading test data
Loading model from  models/gru/model2_epoch8_acc_70.25.pt
 * vocabulary size = 15683
 * number of test samples. 2500
 * maximum batch size. 64
Building model...
Evaluate on test data
474 : 45 : 1
939 : 96 : 1
277 : 6 : 1
393 : 28 : 0
625 : 42 : 0
530 : 26 : 1
346 : 16 : 0
400 : 10 : 0
705 : 28 : 1
352 : 11 : 1
385 : 42 : 1
340 : 16 : 1
555 : 44 : 1
484 : 38 : 1
318 : 13 : 1
336 : 38 : 1
474 : 53 : 0
338 : 9 : 1
532 : 5 : 0
642 : 27 : 0
699 : 38 : 1
273 : 40 : 0
301 : 39 : 1
345 : 16 : 1
302 : 41 : 1
368 : 18 : 0
287 : 10 : 0
912 : 65 : 1
445 : 27 : 0
323 : 6 : 0
269 : 18 : 0
516 : 55 : 1
475 : 39 : 0
328 : 28 : 1
430 : 29 : 1
329 : 14 : 1
373 : 45 : 1
526 : 18 : 1
285 : 28 : 0
436 : 58 : 0
1024 : 45 : 1
300 : 35 : 0
287 : 26 : 1
560 : 35 : 0
310 : 5 : 1
780 : 52 : 1
577 : 3 : 0
412 : 17 : 1
303 : 11 : 0
329 : 12 : 1
506 : 17 : 1
313 : 58 : 1
291 : 16 : 0
584 : 27 : 1
551 : 45 : 0
247 : 6 : 1
444 : 10 : 0
714 : 33 : 1
324 : 14 : 1
508 : 41 : 0
205 : 12 : 1
457 : 32 : 1
285 : 8 : 1
478 : 25 : 1
483 : 15 : 0
500 : 33 : 0
448 : 21 : 0
322 : 7 : 0
227 : 15 : 1
323 : 38 : 1
506 : 26 : 1
309 : 68 : 1
227 : 30 : 0
398 : 10 : 1
694 : 35 : 1
343 : 31 : 1
395 : 37 : 1
274 : 25 : 0
389 : 17 : 1
239 : 9 : 1
506 : 17 : 1
291 : 23 : 1
417 : 24 : 1
376 : 26 : 1
289 : 30 : 1
222 : 3 : 1
347 : 30 : 1
338 : 5 : 1
512 : 14 : 1
323 : 20 : 1
560 : 43 : 0
441 : 23 : 1
577 : 38 : 1
625 : 24 : 1
433 : 4 : 1
583 : 46 : 0
238 : 50 : 1
356 : 11 : 0
363 : 8 : 1
479 : 38 : 1
626 : 46 : 1
321 : 23 : 1
422 : 41 : 1
720 : 12 : 0
552 : 11 : 1
337 : 27 : 1
593 : 28 : 1
208 : 56 : 1
346 : 9 : 0
302 : 16 : 1
623 : 37 : 1
581 : 33 : 1
418 : 27 : 1
186 : 8 : 0
304 : 14 : 1
342 : 10 : 1
259 : 5 : 0
353 : 43 : 0
351 : 32 : 1
467 : 39 : 1
780 : 52 : 1
472 : 15 : 1
355 : 58 : 0
530 : 50 : 0
287 : 12 : 1
290 : 15 : 1
256 : 13 : 1
533 : 45 : 0
347 : 36 : 1
350 : 13 : 1
585 : 42 : 0
257 : 35 : 0
634 : 31 : 1
369 : 4 : 0
406 : 31 : 1
271 : 14 : 1
312 : 34 : 0
323 : 18 : 0
528 : 27 : 1
464 : 58 : 0
501 : 12 : 1
287 : 17 : 1
451 : 19 : 1
329 : 6 : 0
408 : 59 : 1
256 : 20 : 0
330 : 19 : 1
546 : 15 : 1
761 : 77 : 0
306 : 7 : 1
254 : 16 : 1
317 : 29 : 1
559 : 28 : 1
685 : 43 : 0
339 : 45 : 1
240 : 7 : 0
277 : 21 : 1
629 : 28 : 1
334 : 29 : 1
334 : 11 : 1
374 : 41 : 1
494 : 19 : 1
439 : 15 : 0
401 : 38 : 0
300 : 18 : 1
425 : 33 : 0
250 : 10 : 1
486 : 11 : 0
278 : 14 : 1
624 : 22 : 1
256 : 13 : 0
482 : 26 : 0
338 : 22 : 1
257 : 3 : 1
495 : 59 : 1
379 : 16 : 0
470 : 74 : 0
319 : 23 : 0
409 : 28 : 1
272 : 14 : 1
266 : 28 : 0
416 : 30 : 1
297 : 33 : 1
471 : 63 : 1
392 : 7 : 1
304 : 12 : 1
179 : 11 : 1
284 : 5 : 1
383 : 26 : 1
338 : 25 : 1
376 : 18 : 1
623 : 32 : 0
518 : 37 : 0
566 : 40 : 1
350 : 18 : 1
443 : 3 : 0
267 : 9 : 1
705 : 45 : 1
618 : 17 : 1
479 : 8 : 0
683 : 26 : 0
391 : 32 : 1
394 : 27 : 0
267 : 11 : 1
266 : 28 : 0
277 : 20 : 0
342 : 9 : 1
492 : 23 : 0
418 : 15 : 1
309 : 20 : 0
620 : 30 : 0
793 : 52 : 0
440 : 41 : 1
635 : 23 : 1
519 : 25 : 0
444 : 23 : 1
730 : 34 : 1
493 : 28 : 1
778 : 126 : 1
686 : 19 : 0
239 : 7 : 0
